Name,Kategorie,Phase,Beschreibung,Register_Layer
Commit Agent,Entwicklung & Code-Management,10,"Dokumentiert jeden deiner Fortschritte. Er sorgt dafür, dass kein Zwischenstand jemals verloren geht.",10_FOUNDATION
Branch Agent,Entwicklung & Code-Management,10,"Eröffnet neue Denk- und Arbeitswege. Er hilft dir, Ideen parallel zu testen, ohne das Hauptprojekt zu gefährden.",10_FOUNDATION
Merge Agent,Entwicklung & Code-Management,10,Führt verschiedene Arbeitsstränge zusammen. Er bringt Ordnung in das Chaos aus mehreren Teilaufgaben.,10_FOUNDATION
Diff Agent,Entwicklung & Code-Management,10,"Vergleicht zwei Zustände miteinander. Er zeigt dir präzise, was sich geändert hat und wo Fehler liegen könnten.",10_FOUNDATION
Push Agent,Entwicklung & Code-Management,10,"Veröffentlicht deine fertigen Ergebnisse. Er sorgt dafür, dass deine Arbeit dort ankommt, wo sie gebraucht wird.",10_FOUNDATION
Pull Agent,Entwicklung & Code-Management,10,Holt externe Informationen in dein System. Er hält dich mit dem Wissen von außen immer auf dem Laufenden.,10_FOUNDATION
Fetch Agent,Entwicklung & Code-Management,10,"Prüft im Hintergrund auf Aktualisierungen. Er bereitet Informationen vor, bevor du sie aktiv abrufst.",10_FOUNDATION
Reset Agent,Entwicklung & Code-Management,10,Setzt Aufgaben auf einen stabilen Ausgangspunkt zurück. Er ermöglicht dir einen sauberen Neustart bei Sackgassen.,10_FOUNDATION
Stash Agent,Entwicklung & Code-Management,10,"Parkt angefangene Arbeiten kurzzeitig. Er schafft Platz im Kopf für dringendere Aufgaben, ohne Fortschritt zu löschen.",10_FOUNDATION
Rebase Agent,Entwicklung & Code-Management,10,Ordnet deine Historie neu. Er macht deine Arbeitsabläufe sauberer und für andere leichter nachvollziehbar.,10_FOUNDATION
Patch Agent,Entwicklung & Code-Management,10,"Repariert kleine Fehler sofort. Er verhindert, dass aus kleinen Lücken große Probleme entstehen.",10_FOUNDATION
Fork Agent,Entwicklung & Code-Management,10,"Erstellt eine Kopie eines Projekts für Experimente. Er gibt dir die Freiheit, radikale Änderungen völlig sicher zu testen.",10_FOUNDATION
Script Agent,Entwicklung & Code-Management,10,Automatisiert repetitive Handgriffe. Er spart dir wertvolle Zeit bei Routineaufgaben.,10_FOUNDATION
Snippet Agent,Entwicklung & Code-Management,10,"Verwaltet deine Bausteine. Er stellt sicher, dass du bewährte Lösungen sofort wieder griffbereit hast.",10_FOUNDATION
Repository Agent,Struktur & Archivierung,10,Verwaltet den gesamten Speicherort. Er strukturiert alle deine Daten in einer logischen Hierarchie.,10_FOUNDATION
